"연번","기관명","요양번호","기관분류","의료기관분류","지역","우편번호","기관주소(도로명)","대표전화","대표전화2","팩스번호","소아야간진료","TM경도","TM위도","WGS84경도","WGS84위도","응급실(직통전화)","허가병상수"
"1","(학)고려중앙학원고려대학교의과대학부속병원(안암병원)","11100117","상급종합병원","권역응급의료센터","서울","2841","서울특별시 성북구 인촌로 73 (안암동5가)","1577-0083","02-920-6114","02-920-5269","운영 안함","4.5730401E7","1.353044E7","127.026239080069","37.5872487580772","02-920-5374","1051"
"2","고려대학교의과대학부속구로병원","11100494","상급종합병원","권역응급의료센터","서울","8308","서울특별시 구로구 구로동로 148 (구로동)","02-2626-1114","","02-2626-3129","운영 안함","4.5679345E7","1.3496188E7","126.884601523849","37.4920136685405","02-2626-1550","1054"
"3","서울대학교병원","11100079","상급종합병원","권역응급의료센터","서울","3080","서울특별시 종로구 대학로 101 (연건동)","02-2072-2114","02-2072-2114","","소아응급센터 운영","4.5720522E7","1.3527775E7","126.998979997222","37.5797626096642","02-2072-2475","1786"
"4","이화여자대학교의과대학부속목동병원","11100915","상급종합병원","권역응급의료센터","서울","7985","서울특별시 양천구 안양천로 1071 (목동)","02-2650-5114","02-2650-5114","02-2655-0984","소아응급센터 운영","4.5679926E7","1.3512217E7","126.886215968305","37.536542826378","02-2650-5911","802"
"5","한양대학교병원","11100184","상급종합병원","권역응급의료센터","서울","4763","서울특별시 성동구 왕십리로 222-1 (사근동)","02-2290-8114","02-2290-8114","","운영 안함","4.5736725E7","1.3520568E7","127.043987348481","37.5597406116906","02-2290-8284","828"
"6","강북삼성병원","11100095","상급종합병원","지역응급의료센터","서울","3181","서울특별시 종로구 새문안로 29 (평동)","02-2001-2001","02-2001-2001","20012117","운영 안함","4.5709346E7","1.352372E7","126.967938054517","37.5684976312338","02-2001-1000","699"
"7","건국대학교병원","11100435","상급종합병원","지역응급의료센터","서울","5030","서울특별시 광진구 능동로 120-1 (화양동)","1588-1533","02-1588-1533","02-2030-5009","운영 안함","4.5746764E7","1.351358E7","127.071874346882","37.5403284303419","02-2030-5555","869"
"8","경희대학교병원","11100168","상급종합병원","지역응급의료센터","서울","2447","서울특별시 동대문구 경희대로 23 (회기동)","02-958-8114","02-958-8114","02-958-9605","운영 안함","4.5739563E7","1.3532941E7","127.05187152776","37.5941148472421","02-958-8282","850"
"9","삼성서울병원","11100958","상급종합병원","지역응급의료센터","서울","6351","서울특별시 강남구 일원로 81 (일원동 삼성의료원)","02-3410-2114","02-3410-2114","02-3410-0440","운영 안함","4.5751594E7","1.3494786E7","127.085289982401","37.4881198592954","02-3410-2060","1979"
"10","연세대학교의과대학강남세브란스병원","11100443","상급종합병원","지역응급의료센터","서울","6273","서울특별시 강남구 언주로 211 (도곡동)","02-3497-2114","","02-2019-4805","운영 안함","4.5737562E7","1.3496473E7","127.046312541867","37.4928069846454","02-2019-3333","815"
"11","재단법인아산사회복지재단서울아산병원","11100800","상급종합병원","지역응급의료센터","서울","5505","서울특별시 송파구 올림픽로43길 88 (풍납동서울아산병원)","1688-7575","","02-3010-3360","소아응급센터 운영","4.5759865E7","1.3508502E7","127.108264622292","37.5262225450221","02-3010-3333","2704"
"12","중앙대학교병원","11100052","상급종합병원","지역응급의료센터","서울","6973","서울특별시 동작구 흑석로 102 (흑석동)","1800-1114","02-1800-1114","","소아 야간 휴일진료운영","4.5706774E7","1.3501609E7","126.960793784475","37.5070742849341","02-6299-1339","840"
"13","학교법인가톨릭학원가톨릭대학교서울성모병원","11100338","상급종합병원","지역응급의료센터","서울","6591","서울특별시 서초구 반포대로 222 (반포동)","1588-1511","02-1588-1511","02-2258-5518","운영 안함","4.5722591E7","1.3499711E7","127.004727259701","37.5018008047852","02-2258-2370","1356"
