"","거주지","성별","나이","혼인상태","주관적만족감","건강평가","흡연여부","음주여부","가정생활스트레스","일상생활스트레스","자살충동여부","자살충동이유","본인경제활동여부","배우자경제활동여부","가구소득"
"1","서울","남자",70,2,3,3,2,2,3,3,2,NA,2,2,2
"2","서울","여자",67,2,1,3,2,2,2,3,2,NA,2,NA,2
"3","서울","여자",40,1,1,2,2,2,3,3,2,NA,2,NA,2
"4","서울","여자",23,1,3,2,2,2,3,3,2,NA,2,NA,1
"5","서울","여자",26,1,2,3,2,2,2,2,1,9,2,NA,2
"6","서울","여자",54,4,2,2,2,1,3,3,2,NA,1,NA,5
"7","서울","여자",30,1,2,3,2,1,4,2,2,NA,1,NA,5
"8","서울","남자",28,1,4,3,2,1,3,2,2,NA,1,NA,5
"9","경기","남자",66,2,2,3,2,2,4,3,2,NA,2,1,3
"10","경기","여자",59,2,2,3,2,2,2,2,2,NA,1,NA,3
"11","경기","남자",47,2,2,3,1,1,2,4,2,NA,1,2,5
"12","경기","여자",45,2,3,3,2,2,2,2,2,NA,2,NA,5
"13","경기","남자",18,1,2,2,2,2,3,4,2,NA,2,NA,5
"14","경기","여자",13,1,2,2,2,2,2,2,2,NA,2,NA,5
"15","경기","여자",77,3,3,4,2,2,2,2,2,NA,2,NA,5
"16","경기","남자",43,2,3,3,1,1,2,2,1,1,1,1,3
"17","경기","여자",40,2,3,1,2,2,3,3,2,NA,1,NA,3
"18","경기","여자",17,1,3,3,2,2,3,3,2,NA,2,NA,3
"19","경기","남자",14,1,3,3,2,2,3,3,2,NA,2,NA,3
"20","경기","남자",48,2,3,3,2,1,2,2,2,NA,1,2,2
"21","경기","여자",47,2,4,3,2,2,2,3,2,NA,2,NA,2
"22","경기","여자",16,1,1,2,2,2,2,2,2,NA,2,NA,2
"23","경기","남자",15,1,2,2,2,2,2,2,2,NA,2,NA,2
"24","경기","남자",59,2,2,1,2,1,2,2,2,NA,1,2,2
"25","경기","여자",57,2,3,3,2,1,2,2,1,5,2,NA,2
"26","경기","남자",57,2,4,4,2,1,4,4,2,NA,2,1,3
"27","경기","여자",59,2,1,2,2,2,4,4,2,NA,1,NA,3
"28","경기","여자",69,3,4,3,2,2,1,1,2,NA,2,NA,1
"29","경기","남자",39,2,2,2,2,1,3,2,2,NA,1,1,5
"30","경기","여자",38,2,1,2,2,1,2,2,2,NA,1,NA,5
"33","경기","남자",37,2,2,2,2,1,1,1,2,NA,1,1,7
"34","경기","여자",37,2,2,2,2,1,2,2,2,NA,1,NA,7
"38","경기","남자",40,2,1,2,1,1,2,2,2,NA,1,2,7
"39","경기","여자",36,2,1,1,2,1,2,2,2,NA,2,NA,7
"41","서울","남자",85,2,3,4,2,2,2,2,1,3,2,2,5
"42","서울","여자",81,2,3,4,2,2,2,2,2,NA,2,NA,5
"43","경기","남자",45,2,2,1,2,1,2,2,2,NA,1,1,5
"44","경기","여자",41,2,5,2,2,2,1,4,2,NA,1,NA,5
"45","경기","여자",17,1,1,2,2,2,4,3,2,NA,2,NA,5
"47","경기","여자",49,2,2,2,2,1,3,3,2,NA,1,1,8
"48","경기","남자",22,1,2,1,1,1,4,4,2,NA,1,NA,8
"49","경기","남자",15,1,1,2,2,2,4,3,2,NA,2,NA,8
"50","경기","남자",46,2,3,2,2,1,3,3,2,NA,1,2,3
"51","경기","여자",44,2,3,4,2,1,2,2,2,NA,2,NA,3
"52","경기","여자",13,1,1,1,2,2,4,4,2,NA,2,NA,3
"54","경기","여자",45,2,3,3,2,1,2,3,2,NA,1,1,5
"55","경기","남자",20,1,3,3,2,1,2,2,2,NA,2,NA,5
"56","경기","남자",16,1,3,3,2,2,3,3,2,NA,2,NA,5
"57","경기","남자",61,2,2,3,2,1,3,2,2,NA,1,2,7
"58","경기","여자",56,2,2,2,2,1,3,3,2,NA,2,NA,7
"59","경기","남자",33,1,3,2,2,1,3,2,2,NA,1,NA,7
"60","경기","여자",25,1,2,2,2,1,3,2,2,NA,1,NA,7
"61","경기","남자",46,2,1,3,2,1,2,4,2,NA,1,2,5
"62","경기","여자",47,2,2,3,2,2,3,3,2,NA,2,NA,5
"63","경기","여자",19,1,1,1,2,1,3,3,2,NA,2,NA,5
"64","경기","남자",15,1,1,1,2,2,3,3,2,NA,2,NA,5
"65","경기","남자",39,2,3,3,2,1,3,4,2,NA,1,2,5
"66","경기","여자",40,2,1,2,2,1,2,2,2,NA,2,NA,5
"69","경기","남자",53,2,3,3,1,1,2,2,2,NA,1,1,4
"70","경기","여자",48,2,4,2,2,1,2,4,2,NA,1,NA,4
"71","경기","남자",17,1,5,2,2,2,2,2,1,6,2,NA,4
"72","경기","여자",14,1,5,3,2,2,2,2,2,NA,2,NA,4
"73","경기","남자",69,2,3,3,2,2,4,4,2,NA,2,2,2
"74","경기","여자",65,2,3,3,2,2,4,4,2,NA,2,NA,2
"75","경기","여자",47,4,4,4,2,1,2,1,1,1,1,NA,3
"76","경기","여자",24,1,3,2,2,2,2,2,2,NA,1,NA,3
"77","경기","여자",22,1,3,2,2,2,2,2,2,NA,1,NA,3
"78","경기","남자",16,1,3,1,2,2,2,2,2,NA,2,NA,3
"79","서울","남자",67,2,1,1,2,1,2,2,1,1,1,2,1
"80","서울","여자",61,2,3,4,2,2,3,2,2,NA,2,NA,1
"81","경기","남자",58,2,1,1,2,1,4,4,2,NA,1,1,6
"82","경기","여자",53,2,2,3,2,1,2,2,2,NA,1,NA,6
"83","경기","여자",25,1,3,2,2,1,2,2,2,NA,2,NA,6
"84","경기","남자",54,2,3,3,1,1,2,2,2,NA,1,1,4
"85","경기","여자",51,2,2,2,2,1,2,2,2,NA,1,NA,4
"86","경기","여자",77,3,3,4,2,2,2,2,2,NA,2,NA,4
"88","경기","여자",46,2,2,2,2,1,4,4,2,NA,1,1,4
"89","경기","남자",41,2,3,2,2,1,2,2,2,NA,1,1,3
"90","경기","여자",41,2,3,2,2,2,2,2,2,NA,1,NA,3
"91","경기","여자",16,1,2,2,2,2,3,2,2,NA,2,NA,3
"92","경기","여자",15,1,2,2,2,2,3,2,2,NA,2,NA,3
"94","경기","남자",50,2,2,2,2,1,3,2,2,NA,1,2,6
"95","경기","여자",45,2,2,2,2,1,3,2,2,NA,2,NA,6
"96","경기","남자",17,1,2,1,2,2,3,3,2,NA,2,NA,6
"97","경기","남자",16,1,2,2,2,2,2,2,2,NA,2,NA,6
"98","경기","남자",48,2,1,4,2,1,2,2,2,NA,1,2,1
"99","경기","여자",49,2,2,2,2,1,2,3,2,NA,2,NA,1
"100","경기","여자",24,1,2,2,2,1,4,3,2,NA,2,NA,1
"101","경기","남자",22,1,2,2,1,1,2,2,2,NA,2,NA,1
"102","경기","남자",47,2,3,3,1,1,1,2,1,1,1,2,4
"103","경기","여자",44,2,5,3,2,1,1,1,2,NA,2,NA,4
"104","경기","남자",18,1,1,2,2,2,2,3,2,NA,1,NA,4
"105","경기","여자",16,1,3,2,2,2,2,2,1,5,2,NA,4
"106","경기","남자",13,1,5,2,2,2,1,2,2,NA,2,NA,4
"107","경기","남자",64,2,3,4,1,2,3,3,2,NA,1,2,3
"108","경기","여자",47,4,2,4,2,1,3,3,2,NA,1,NA,2
"109","경기","여자",15,1,3,2,2,2,3,3,1,5,2,NA,2
"110","경기","여자",39,4,3,3,1,1,2,2,2,NA,1,NA,7
